object_id	image name	Area	Mean	StdDev	Min	Max	Major	Minor	Angle	Feret	Slice	FeretX	FeretY	FeretAngle	MinFeret	Length (pixel)	Length (mm)
44_n1_kl_d2_2_150_1992	44_n1_kl_d2_2_150_1992.jpg	33	207.121	14.439	186	237	0	0	0	32.45	1	12	29	33.69	0.108	32.45	0.34397
44_n1_kl_d2_2_150_2182	44_n1_kl_d2_2_150_2182.jpg	24	213.792	7.633	202	236	0	0	0	23.854	1	9	20	33.024	0.01	23.854	0.2528524
44_n1_kl_d2_2_150_2321	44_n1_kl_d2_2_150_2321.jpg	37	207.297	16.398	185	255	0	0	0	36.014	1	17	13	91.591	0.057	36.014	0.3817484
44_n1_kl_d2_2_150_2720	44_n1_kl_d2_2_150_2720.jpg	39	233.667	9.89	214	255	0	0	0	38.21	1	24	23	137.121	0.081	38.21	0.405026
44_n1_kl_d2_2_150_361	44_n1_kl_d2_2_150_361.jpg	28	193.393	28.286	159	255	0	0	0	27.203	1	11	18	143.973	0.013	27.203	0.2883518
44_n1_kl_d2_2_150_447	44_n1_kl_d2_2_150_447.jpg	40	222.875	14.017	195	255	0	0	0	39.459	1	10	14	98.746	0.17	39.459	0.4182654
44_n1_kl_d2_2_150_631	44_n1_kl_d2_2_150_631.jpg	29	218.69	10.791	206	255	0	0	0	28.16	1	11	41	73.496	0.002	28.16	0.298496
44_n1_kl_d2_2_150_994	44_n1_kl_d2_2_150_994.jpg	12	217.333	11.919	204	237	0	0	0	11.662	1	62	7	149.036	0.007	11.662	0.1236172
44_n2_gr_d1_1_100	44_n2_gr_d1_1_100.jpg	480	115.225	25.029	78	255	0	0	0	479.427	1	141	220	97.792	1.74	479.427	5.0819262
44_n2_gr_d1_1_173	44_n2_gr_d1_1_173.jpg	301	171.349	38.801	107	255	0	0	0	293.789	1	65	76	158.85	31.682	300.876	3.1892856
44_n2_gr_d1_1_328	44_n2_gr_d1_1_328.jpg	310	127.145	59.13	53	255	0	0	0	309.231	1	100	260	36.055	0.295	309.231	3.2778486
44_n2_gr_d1_1_346	44_n2_gr_d1_1_346.jpg	69	183.029	16.786	167	238	0	0	0	68.964	1	52	15	150.461	0.047	68.964	0.7310184
44_n2_gr_d1_1_358	44_n2_gr_d1_1_358.jpg	288	104.524	22.776	73	183	0	0	0	287.211	1	254	150	140.935	0.325	287.211	3.0444366
44_n2_gr_d1_1_371	44_n2_gr_d1_1_371.jpg	96	151.25	41.193	103	232	0	0	0	95	1	66	35	90	0	95	1.007
44_n2_gr_d1_1_372	44_n2_gr_d1_1_372.jpg	86	201.442	14.431	172	232	0	0	0	85.988	1	51	110	81.304	0.293	85.988	0.9114728
44_n2_gr_d1_1_393	44_n2_gr_d1_1_393.jpg	270	100.426	37.881	68	255	0	0	0	269.898	1	212	366	85.325	0.827	269.898	2.8609188
44_n2_gr_d1_1_422	44_n2_gr_d1_1_422.jpg	196	136.99	41.835	94	255	0	0	0	182.784	1	68	214	55.701	32.177	195.698	2.0743988
44_n2_gr_d1_1_426	44_n2_gr_d1_1_426.jpg	261	98.452	23.674	74	255	0	0	0	260.215	1	57	58	135	5.55E-17	260.215	2.758279
44_n2_gr_d1_1_428	44_n2_gr_d1_1_428.jpg	240	161.492	39.806	107	255	0	0	0	230.235	1	49	45	172.011	24.323	239.105	2.534513
44_n2_gr_d1_1_433	44_n2_gr_d1_1_433.jpg	317	185.691	35.288	119	236	0	0	0	278.476	1	89	327	55.682	14.93	317.309	3.3634754
44_n2_gr_d1_1_454	44_n2_gr_d1_1_454.jpg	249	154.486	31.529	105	237	0	0	0	248.888	1	58	59	107.78	0.957	248.888	2.6382128
44_n2_gr_d1_1_470	44_n2_gr_d1_1_470.jpg	128	210.648	17.914	173	255	0	0	0	127.883	1	43	45	124.808	0.427	127.883	1.3555598
44_n2_gr_d1_1_54	44_n2_gr_d1_1_54.jpg	249	154.98	17.215	130	211	0	0	0	248.244	1	99	156	170.727	0.985	248.244	2.6313864
44_n2_gr_d1_1_56	44_n2_gr_d1_1_56.jpg	447	192.562	19.317	134	241	0	0	0	446.466	1	76	68	138.814	1.449	446.466	4.7325396
44_n2_gr_d1_1_83	44_n2_gr_d1_1_83.jpg	452	147.117	32.119	97	255	0	0	0	451.276	1	116	234	9.567	0.525	451.276	4.7835256
44_n2_gr_d1_1_92	44_n2_gr_d1_1_92.jpg	211	139.038	53.649	65	255	0	0	0	210.395	1	66	243	67.946	0.199	210.395	2.230187
44_n2_kl_d2_1_1178	44_n2_kl_d2_1_1178.jpg	95	154.505	35.669	110	255	0	0	0	94.021	1	32	118	88.781	0.359	94.021	0.9966226
44_n2_kl_d2_1_1189	44_n2_kl_d2_1_1189.jpg	34	222.118	10.699	211	255	0	0	0	33.015	1	30	44	88.264	1	34	0.3604
44_n2_kl_d2_1_119	44_n2_kl_d2_1_119.jpg	43	172.302	23.345	144	224	0	0	0	42.202	1	14	14	166.293	0.152	42.202	0.4473412
44_n2_kl_d2_1_1265	44_n2_kl_d2_1_1265.jpg	37	186.946	37.311	139	240	0	0	0	36.069	1	23	23	133.877	0.078	36.069	0.3823314
44_n2_kl_d2_1_152	44_n2_kl_d2_1_152.jpg	46	163.609	32.653	124	219	0	0	0	45.277	1	17	53	59.47	0.023	45.277	0.4799362
44_n2_kl_d2_1_209	44_n2_kl_d2_1_209.jpg	86	192.837	29.536	147	255	0	0	0	77.104	1	13	80	33.896	18.242	85.243	0.9035758
44_n2_kl_d2_1_286	44_n2_kl_d2_1_286.jpg	48	132.75	36.275	104	242	0	0	0	47.518	1	32	15	98.471	0.024	47.518	0.5036908
44_n2_kl_d2_1_317	44_n2_kl_d2_1_317.jpg	66	203.727	24.439	163	255	0	0	0	65.46	1	25	52	18.712	0.242	65.46	0.693876
44_n2_kl_d2_1_359	44_n2_kl_d2_1_359.jpg	96	205.021	11.062	175	226	0	0	0	95.016	1	24	51	120.343	0.26	95.016	1.0071696
44_n2_kl_d2_1_408	44_n2_kl_d2_1_408.jpg	72	213.014	13.702	200	255	0	0	0	71.868	1	43	89	68.791	0.262	71.868	0.7618008
44_n2_kl_d2_1_521	44_n2_kl_d2_1_521.jpg	71	242.169	13.665	216	255	0	0	0	70.292	1	29	69	50.194	0.239	70.292	0.7450952
44_n2_kl_d2_1_533	44_n2_kl_d2_1_533.jpg	56	154.929	41.83	108	255	0	0	0	55.471	1	12	64	56.023	0.023	55.471	0.5879926
44_n2_kl_d2_1_538	44_n2_kl_d2_1_538.jpg	72	153.833	26.289	130	242	0	0	0	71.505	1	44	82	47.834	0.207	71.505	0.757953
44_n2_kl_d2_1_622	44_n2_kl_d2_1_622.jpg	38	220	5.585	211	241	0	0	0	37.121	1	24	14	94.635	0.088	37.121	0.3934826
44_n2_kl_d2_1_652	44_n2_kl_d2_1_652.jpg	53	199.547	24.537	170	255	0	0	0	52.038	1	29	81	87.797	0.184	52.038	0.5516028
44_n2_kl_d2_1_665	44_n2_kl_d2_1_665.jpg	41	191.22	28.835	150	255	0	0	0	40.608	1	39	58	37.999	8.98E-04	40.608	0.4304448
44_n2_kl_d2_1_823	44_n2_kl_d2_1_823.jpg	103	188.796	12.963	161	217	0	0	0	99.328	1	20	119	73.025	12.012	102.97	1.091482
44_n2_kl_d2_1_838	44_n2_kl_d2_1_838.jpg	94	203.298	30.475	163	255	0	0	0	64.382	1	14	39	6.242	34.423	94.232	0.9988592
